Country,iso_code,date,VaccinationRate,,,,,,,,,total_vaccinations_per_hundred,total_vaccinations_per_hundred,total_vaccinations_per_hundred
Afghanistan,AFG,8/25/2021,50863,,,,,,,,,,,
Afghanistan,AFG,8/26/2021,60812,,,,,,,,,,,
Afghanistan,AFG,8/27/2021,70761,,,,,,,,,,,
Afghanistan,AFG,8/28/2021,70761,,,,,,,,,,,
Afghanistan,AFG,8/29/2021,70761,,,,,,,,,,,
Afghanistan,AFG,8/30/2021,70761,,,,,,,,,,,
Afghanistan,AFG,8/31/2021,70761,,,,,,,,,,,
Afghanistan,AFG,9/1/2021,62509,,,,,,,,,,,
Afghanistan,AFG,9/2/2021,54257,,,,,,,,,,,
Afghanistan,AFG,9/3/2021,46006,,,,,,,,,,,
Afghanistan,AFG,9/4/2021,37754,,,,,,,,,,,
Afghanistan,AFG,9/5/2021,29502,,,,,,,,,,,
Afghanistan,AFG,9/6/2021,21251,,,,,,,,,,,
Afghanistan,AFG,9/7/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/8/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/9/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/10/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/11/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/12/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/13/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/14/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/15/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/16/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/17/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/18/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/19/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/20/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/21/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/22/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/23/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/24/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/25/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/26/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/27/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/28/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/29/2021,12999,,,,,,,,,,,
Afghanistan,AFG,9/30/2021,12999,,,,,,,,,,,
Afghanistan,AFG,10/1/2021,16376,,,,,,,,,,,
Afghanistan,AFG,10/2/2021,19752,,,,,,,,,,,
Afghanistan,AFG,10/3/2021,23129,,,,,,,,,,,
Afghanistan,AFG,10/4/2021,26505,,,,,,,,,,,
Afghanistan,AFG,10/5/2021,29882,,,,,,,,,,,
Afghanistan,AFG,10/6/2021,33258,,,,,,,,,,,
Afghanistan,AFG,10/7/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/8/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/9/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/10/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/11/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/12/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/13/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/14/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/15/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/16/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/17/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/18/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/19/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/20/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/21/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/22/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/23/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/24/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/25/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/26/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/27/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/28/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/29/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/30/2021,36635,,,,,,,,,,,
Afghanistan,AFG,10/31/2021,36635,,,,,,,,,,,
Afghanistan,AFG,11/1/2021,36635,,,,,,,,,,,
Afghanistan,AFG,11/2/2021,36635,,,,,,,,,,,
Afghanistan,AFG,11/3/2021,36635,,,,,,,,,,,
Afghanistan,AFG,11/4/2021,36635,,,,,,,,,,,
Afghanistan,AFG,11/5/2021,36635,,,,,,,,,,,
Afghanistan,AFG,11/6/2021,36635,,,,,,,,,,,
Afghanistan,AFG,11/7/2021,36635,,,,,,,,,,,
Afghanistan,AFG,11/8/2021,36635,,,,,,,,,,,
Afghanistan,AFG,11/9/2021,36635,,,,,,,,,,,
Afghanistan,AFG,11/10/2021,36635,,,,,,,,,,,
Afghanistan,AFG,11/11/2021,36635,,,,,,,,,,,
Afghanistan,AFG,11/12/2021,36635,,,,,,,,,,,
Afghanistan,AFG,11/13/2021,36635,,,,,,,,,,,
Afghanistan,AFG,11/14/2021,36635,,,,,,,,,,,
Afghanistan,AFG,11/15/2021,33582,,,,,,,,,,,
Afghanistan,AFG,11/16/2021,30529,,,,,,,,,,,
Afghanistan,AFG,11/17/2021,27476,,,,,,,,,,,
Afghanistan,AFG,11/18/2021,24423,,,,,,,,,,,
Afghanistan,AFG,11/19/2021,21369,,,,,,,,,,,
Afghanistan,AFG,11/20/2021,18316,,,,,,,,,,,
Afghanistan,AFG,11/21/2021,15263,,,,,,,,,,,
Afghanistan,AFG,11/22/2021,15263,,,,,,,,,,,
Afghanistan,AFG,11/23/2021,15263,,,,,,,,,,,
Afghanistan,AFG,11/24/2021,15263,,,,,,,,,,,
Afghanistan,AFG,11/25/2021,15263,,,,,,,,,,,
Afghanistan,AFG,11/26/2021,15263,,,,,,,,,,,
Afghanistan,AFG,11/27/2021,15263,,,,,,,,,,,
Afghanistan,AFG,11/28/2021,15263,,,,,,,,,,,
Afghanistan,AFG,11/29/2021,15263,,,,,,,,,,,
Afghanistan,AFG,11/30/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/1/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/2/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/3/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/4/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/5/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/6/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/7/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/8/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/9/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/10/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/11/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/12/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/13/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/14/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/15/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/16/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/17/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/18/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/19/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/20/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/21/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/22/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/23/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/24/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/25/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/26/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/27/2021,15263,,,,,,,,,,,
Afghanistan,AFG,12/28/2021,15598,,,,,,,,,,,
Afghanistan,AFG,12/29/2021,15932,,,,,,,,,,,
Afghanistan,AFG,12/30/2021,16266,,,,,,,,,,,
Afghanistan,AFG,12/31/2021,16601,,,,,,,,,,,
Afghanistan,AFG,1/1/2022,16935,,,,,,,,,,,
Afghanistan,AFG,1/2/2022,17269,,,,,,,,,,,
Afghanistan,AFG,1/3/2022,17604,,,,,,,,,,,
Afghanistan,AFG,1/4/2022,17604,,,,,,,,,,,
